"MacroTrends Data Download"
"voo - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-09-09,51.25,51.25,50.57,50.66,26500
2010-09-10,50.84,50.93,50.648,50.89,8600
2010-09-13,51.48,51.57,51.25,51.53,33700
2010-09-14,51.42,51.74,51.19,51.519,59400
2010-09-15,51.31,51.69,51.2,51.65,9200
2010-09-16,51.51,51.66,51.35,51.63,59500
2010-09-17,51.94,51.94,51.51,51.68,49300
2010-09-20,51.87,52.52,51.73,52.52,19000
2010-09-21,52.51,52.72,52.14,52.3599,19200
2010-09-22,52.28,52.52,51.98,52.08,18100
2010-09-23,51.66,52.17,51.56,51.6531,33300
2010-09-24,51.97,52.45,51.934,52.42,24100
2010-09-27,52.49,52.49,52.17,52.17,15000
2010-09-28,52.159,52.51,51.71,52.51,49800
2010-09-29,52.29,52.455,52.11,52.26,15900
2010-09-30,52.6,52.84,51.98,52.18,44700
2010-10-01,52.54,52.58,52.0824,52.36,17100
2010-10-04,52.63,52.63,51.75,51.92,88700
2010-10-05,52.51,53.1,52.41,53.058,19800
2010-10-06,53.06,53.14,52.81,52.968,276900
2010-10-07,53.25,53.25,52.66,52.94,49900
2010-10-08,53.01,53.37,52.83,53.3399,61500
2010-10-11,53.36,53.42,53.14,53.25,14200
2010-10-12,53.19,53.62,52.87,53.56,42000
2010-10-13,53.79,54.14,53.62,53.88,74400
2010-10-14,53.85,53.909,53.4,53.68,19100
2010-10-15,54.02,54.04,53.36,53.78,54900
2010-10-18,53.81,54.22,53.72,54.17,22800
2010-10-19,53.57,53.84,53.01,53.3101,38500
2010-10-20,53.47,54.08,53.47,53.88,22800
2010-10-21,54.13,54.378,53.655,53.96,29400
2010-10-22,54.08,54.1,53.97,54.09,24800
2010-10-25,54.51,54.64,54.23,54.25,29600
2010-10-26,53.96,54.276,53.94,54.24,15000
2010-10-27,53.87,54.11,53.61,54.07,17100
2010-10-28,54.38,54.41,53.88,54.11,19200
2010-10-29,54.05,54.21,54,54.15,13400
2010-11-01,54.46,54.71,53.88,54.18,51500
2010-11-02,54.61,54.71,54.429,54.6,26100
2010-11-03,54.71,54.83,54.16,54.83,31800
2010-11-04,55.45,55.9,55.37,55.86,49000
2010-11-05,55.95,56.15,55.84,56.08,48300
2010-11-08,55.94,56.04,55.75,56.01,43400
2010-11-09,56.09,56.15,55.398,55.57,35700
2010-11-10,55.58,55.8,55.16,55.78,28200
