"MacroTrends Data Download"
"vwo - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-03-10,25.15,25.25,24.975,25.08,108200
2005-03-11,25.19,25.3143,25.045,25.05,184400
2005-03-14,24.98,25.055,24.8,24.9,112800
2005-03-15,24.625,24.68,24.35,24.36,127800
2005-03-16,24.315,24.385,24.125,24.15,196400
2005-03-17,24.125,24.46,24.12,24.345,243800
2005-03-18,24.45,24.45,24.25,24.38,75400
2005-03-21,24.155,24.155,23.96,24.075,81000
2005-03-22,24.155,24.235,23.625,23.69,68000
2005-03-23,23.54,23.6443,23.445,23.475,54000
2005-03-24,23.405,23.55,23.395,23.4,113600
2005-03-28,23.5,23.575,23.375,23.48,66000
2005-03-29,23.25,23.305,22.91,22.97,51400
2005-03-30,23.195,23.47,23.095,23.47,177000
2005-03-31,23.76,23.805,23.5,23.6,180800
2005-04-01,24.06,24.06,23.55,23.625,142200
2005-04-04,23.775,23.78,23.59,23.755,43800
2005-04-05,23.775,23.905,23.635,23.7,70200
2005-04-06,23.915,24.04,23.875,23.92,96000
2005-04-07,23.9,24.08,23.79,24.02,48600
2005-04-08,24,24.025,23.825,23.825,62200
2005-04-11,24,24,23.875,23.915,89000
2005-04-12,23.86,23.95,23.595,23.95,252000
2005-04-13,23.97,24,23.71,23.755,58800
2005-04-14,23.515,23.515,23.15,23.15,97400
2005-04-15,23.075,23.075,22.635,22.76,224600
2005-04-18,22.7,22.76,22.575,22.7,86200
2005-04-19,23,23.165,23,23.155,107200
