Date,VTI,VTMGX,VEMAX,MUB,VIG,VDE
2007-09-01,59.562542,11.149861,31.409506,71.168633,44.792408,84.135139
2007-10-01,60.888592,11.649422,35.282913,71.387642,44.812897,85.970207
2007-11-01,58.135143,11.212308,32.465218,71.953018,43.9039,82.369705
2007-12-01,57.423042,10.684998,31.744419,72.473068,43.468826,87.882736
2008-01-01,54.171658,10.069819,28.783567,73.084846,41.38483,78.801659
2008-02-01,52.819359,9.998909,30.112164,69.48172,40.74453,85.633957
2008-03-01,52.103428,10.005999,28.983974,71.664307,41.400448,83.502274
2008-04-01,54.904194,10.534646,31.329418,72.775581,42.636608,92.762978
2008-05-01,56.011093,10.676525,31.893511,73.221092,42.777744,97.580696
2008-06-01,51.219948,9.761395,28.590601,71.96315,39.202488,100.938286
2008-07-01,51.14135,9.420882,27.410444,72.370544,39.833893,86.360146
2008-08-01,51.888115,9.016521,25.280266,73.402885,40.661648,85.774498
2008-09-01,46.861507,7.916946,21.175747,70.955933,37.721199,72.797081
2008-10-01,38.862293,6.29241,15.31215,70.211716,32.579639,58.203297
2008-11-01,35.747505,5.916426,14.10974,69.816803,31.747322,56.563549
2008-12-01,36.102543,6.200188,14.540235,73.205208,31.818676,52.596905
2009-01-01,33.451614,5.590266,14.018375,73.7341,29.585667,52.531528
2009-02-01,29.93082,5.003361,13.17634,73.874878,26.473904,46.108185
2009-03-01,32.183159,5.39952,15.281434,74.084915,28.117567,47.888916
2009-04-01,35.968384,6.050069,17.752975,75.796555,30.403845,52.388432
2009-05-01,37.93343,6.857724,20.980787,75.868721,31.907545,59.749866
2009-06-01,37.884312,6.776957,20.512993,74.767517,31.87537,55.623974
2009-07-01,41.01852,7.42308,22.89097,76.11734,34.168839,58.708443
2009-08-01,42.540791,7.768174,22.742836,77.537315,34.993938,59.415966
2009-09-01,44.095951,8.083892,24.855722,80.101517,35.908031,63.446449
2009-10-01,43.133663,7.89299,24.528269,78.021759,35.940346,64.559402
